subject,session,AcqGroup
NDARRD720XZK,HBNsiteSI,1
NDARPG072ZZ7,HBNsiteSI,1
NDARPZ621ZLE,HBNsiteSI,1
NDARPW482TVE,HBNsiteSI,1
NDARPV249ZRF,HBNsiteSI,1
NDARNM624PDC,HBNsiteSI,1
NDARPR768KT4,HBNsiteSI,1
NDARPP337KUQ,HBNsiteSI,1
NDARPL721WTD,HBNsiteSI,1
NDARPE596LZL,HBNsiteSI,1
NDARNT042GRA,HBNsiteSI,1
NDARPE404CMV,HBNsiteSI,1
NDARPD977VX2,HBNsiteSI,1
NDARNW218ZBU,HBNsiteSI,1
NDARNV332JF2,HBNsiteSI,1
NDARNT939YMG,HBNsiteSI,1
NDARNT572CMD,HBNsiteSI,1
NDARRA733VWX,HBNsiteSI,1
NDARTK185PBH,HBNsiteSI,1
NDARTY625VHZ,HBNsiteSI,1
NDARNJ894VH2,HBNsiteSI,1
NDARTX012JHM,HBNsiteSI,1
NDARTU768MY1,HBNsiteSI,1
NDARTR840XP1,HBNsiteSI,1
NDARTR365NCY,HBNsiteSI,1
NDARTM946WJ7,HBNsiteSI,1
NDARUA421HT8,HBNsiteSI,1
NDARTH610GMK,HBNsiteSI,1
NDARTF833WXB,HBNsiteSI,1
NDARRZ199KNG,HBNsiteSI,1
NDARRU600XWW,HBNsiteSI,1
NDARRP592GHK,HBNsiteSI,1
NDARRN619WHY,HBNsiteSI,1
NDARNL599TMZ,HBNsiteSI,1
NDARME930DE7,HBNsiteSI,1
NDARNJ715JPV,HBNsiteSI,1
NDARNJ687DMC,HBNsiteSI,1
NDARMJ699RJN,HBNsiteSI,1
NDARMH763YZD,HBNsiteSI,1
NDARME656MTN,HBNsiteSI,1
NDARMC412BCK,HBNsiteSI,1
NDARMA875ARE,HBNsiteSI,1
NDARLZ228PCB,HBNsiteSI,1
NDARLZ104NDT,HBNsiteSI,1
NDARLL389TUF,HBNsiteSI,1
NDARLG942AZ1,HBNsiteSI,1
NDARLF283KJX,HBNsiteSI,1
NDARLB017MBJ,HBNsiteSI,1
NDARKX761BH9,HBNsiteSI,1
NDARKX346VTV,HBNsiteSI,1
NDARUF069EHR,HBNsiteSI,1
NDARKW999WZD,HBNsiteSI,1
NDARML142BEK,HBNsiteSI,1
NDARML148UCE,HBNsiteSI,1
NDARMM386PL6,HBNsiteSI,1
NDARMY967HNA,HBNsiteSI,1
NDARNH342XLK,HBNsiteSI,1
NDARNG689AAP,HBNsiteSI,1
NDARNF954MK3,HBNsiteSI,1
NDARNE511XHU,HBNsiteSI,1
NDARMZ908DUR,HBNsiteSI,1
NDARMY533CYM,HBNsiteSI,1
NDARMM782KJK,HBNsiteSI,1
NDARMV410ZFY,HBNsiteSI,1
NDARMV247HRA,HBNsiteSI,1
NDARMR242UKQ,HBNsiteSI,1
NDARMM905VYR,HBNsiteSI,1
NDARUD764NFJ,HBNsiteSI,1
NDARXY337ZH9,HBNsiteSI,1
NDARUF935UL3,HBNsiteSI,1
NDARUG507AZX,HBNsiteSI,1
NDARYM257RR6,HBNsiteSI,1
NDARYL272HDW,HBNsiteSI,1
NDARYH996DA9,HBNsiteSI,1
NDARYH110YV9,HBNsiteSI,1
NDARYB563VRT,HBNsiteSI,1
NDARXU679ZE8,HBNsiteSI,1
NDARXU437UFZ,HBNsiteSI,1
NDARXN425ZJB,HBNsiteSI,1
NDARXN047RUT,HBNsiteSI,1
NDARXK462WRZ,HBNsiteSI,1
NDARXK164TNN,HBNsiteSI,1
NDARXJ799NEB,HBNsiteSI,1
NDARXJ696AMX,HBNsiteSI,1
NDARXJ468UGL,HBNsiteSI,1
NDARYN484LLR,HBNsiteSI,1
NDARYU323ZDJ,HBNsiteSI,1
