subject,session,AcqGroup
NDARAA948VFH,HBNsiteRU,1
NDARHT829KKB,HBNsiteRU,1
NDARHT095YB4,HBNsiteRU,1
NDARHR372GJ7,HBNsiteRU,1
NDARHR140GMB,HBNsiteRU,1
NDARHP924ZHW,HBNsiteRU,1
NDARFX455JFY,HBNsiteRU,1
NDARHN067BTE,HBNsiteRU,1
NDARHM413HVA,HBNsiteRU,1
NDARHL684WYU,HBNsiteRU,1
NDARHL164JHH,HBNsiteRU,1
NDARHJ034LDM,HBNsiteRU,1
NDARHG294AFG,HBNsiteRU,1
NDARHX418ZGJ,HBNsiteRU,1
NDARHZ255RA6,HBNsiteRU,1
NDARJG821GH3,HBNsiteRU,1
NDARJG298YVA,HBNsiteRU,1
NDARJE686DJL,HBNsiteRU,1
NDARJB233RL7,HBNsiteRU,1
NDARJB027GMR,HBNsiteRU,1
NDARJA157YB3,HBNsiteRU,1
NDARJ257ZU2,HBNsiteRU,1
NDARHG152GZC,HBNsiteRU,1
NDARHG065YHQ,HBNsiteRU,1
NDARGN044FE4,HBNsiteRU,1
NDARGK672URV,HBNsiteRU,1
NDARGK041TPB,HBNsiteRU,1
NDARGH074MU6,HBNsiteRU,1
NDARGD425PTN,HBNsiteRU,1
NDARGA499CKF,HBNsiteRU,1
NDARGA048BD8,HBNsiteRU,1
NDARFY009MNL,HBNsiteRU,1
NDARGR354WBH,HBNsiteRU,1
NDARHF545HFW,HBNsiteRU,1
NDARGT682ZWN,HBNsiteRU,1
NDARHF150FDY,HBNsiteRU,1
NDARHC462NGR,HBNsiteRU,1
NDARHA387FPM,HBNsiteRU,1
NDARGZ361JJ9,HBNsiteRU,1
NDARGZ038DRL,HBNsiteRU,1
NDARGY622NG6,HBNsiteRU,1
NDARGW404GJL,HBNsiteRU,1
NDARGV948BFZ,HBNsiteRU,1
NDARGV781AMW,HBNsiteRU,1
NDARJH367WKY,HBNsiteRU,1
NDARLJ654TZ0,HBNsiteRU,1
NDARLJ334YD0,HBNsiteRU,1
NDARLJ148JH2,HBNsiteRU,1
NDARLH979WFX,HBNsiteRU,1
NDARLG154ZA3,HBNsiteRU,1
NDARLF709KNN,HBNsiteRU,1
NDARLF142AF5,HBNsiteRU,1
NDARLE554GYT,HBNsiteRU,1
NDARLD016VCA,HBNsiteRU,1
NDARLB547HJD,HBNsiteRU,1
NDARKZ634RVX,HBNsiteRU,1
NDARKY667THK,HBNsiteRU,1
NDARKX665ZD3,HBNsiteRU,1
NDARKW738AMY,HBNsiteRU,1
NDARKW521EMY,HBNsiteRU,1
NDARKV965WLU,HBNsiteRU,1
NDARLJ886BFK,HBNsiteRU,1
NDARKT811ATJ,HBNsiteRU,1
NDARMA449JDZ,HBNsiteRU,1
