subject,session,AcqGroup
sub-NDARAA948VFH,HBNsiteRU,1
sub-NDARHT829KKB,HBNsiteRU,1
sub-NDARHT095YB4,HBNsiteRU,1
sub-NDARHR372GJ7,HBNsiteRU,1
sub-NDARHR140GMB,HBNsiteRU,1
sub-NDARHP924ZHW,HBNsiteRU,1
sub-NDARFX455JFY,HBNsiteRU,1
sub-NDARHN067BTE,HBNsiteRU,1
sub-NDARHM413HVA,HBNsiteRU,1
sub-NDARHL684WYU,HBNsiteRU,1
sub-NDARHL164JHH,HBNsiteRU,1
sub-NDARHJ034LDM,HBNsiteRU,1
sub-NDARHG294AFG,HBNsiteRU,1
sub-NDARHX418ZGJ,HBNsiteRU,1
sub-NDARHZ255RA6,HBNsiteRU,1
sub-NDARJG821GH3,HBNsiteRU,1
sub-NDARJG298YVA,HBNsiteRU,1
sub-NDARJE686DJL,HBNsiteRU,1
sub-NDARJB233RL7,HBNsiteRU,1
sub-NDARJB027GMR,HBNsiteRU,1
sub-NDARJA157YB3,HBNsiteRU,1
sub-NDARJ257ZU2,HBNsiteRU,1
sub-NDARHG152GZC,HBNsiteRU,1
sub-NDARHG065YHQ,HBNsiteRU,1
sub-NDARGN044FE4,HBNsiteRU,1
sub-NDARGK672URV,HBNsiteRU,1
sub-NDARGK041TPB,HBNsiteRU,1
sub-NDARGH074MU6,HBNsiteRU,1
sub-NDARGD425PTN,HBNsiteRU,1
sub-NDARGA499CKF,HBNsiteRU,1
sub-NDARGA048BD8,HBNsiteRU,1
sub-NDARFY009MNL,HBNsiteRU,1
sub-NDARGR354WBH,HBNsiteRU,1
sub-NDARHF545HFW,HBNsiteRU,1
sub-NDARGT682ZWN,HBNsiteRU,1
sub-NDARHF150FDY,HBNsiteRU,1
sub-NDARHC462NGR,HBNsiteRU,1
sub-NDARHA387FPM,HBNsiteRU,1
sub-NDARGZ361JJ9,HBNsiteRU,1
sub-NDARGZ038DRL,HBNsiteRU,1
sub-NDARGY622NG6,HBNsiteRU,1
sub-NDARGW404GJL,HBNsiteRU,1
sub-NDARGV948BFZ,HBNsiteRU,1
