subject,session,AcqGroup
sub-NDARPL596YTD,,1
sub-NDARRP163YRC,,1
sub-NDARRM320RHN,,1
sub-NDARRM073JKA,,1
sub-NDARRL685WB7,,1
sub-NDARRL660CME,,1
sub-NDARRK882CLT,,1
sub-NDARRV941EAC,,1
sub-NDARRX819BZ0,,1
sub-NDARRW951BYF,,1
sub-NDARRV837BZQ,,1
sub-NDARRT038VG1,,1
sub-NDARRU720LG4,,1
sub-NDARRJ989YPA,,1
sub-NDARRH344TL7,,1
sub-NDARPV303LAX,,1
sub-NDARPW915RGD,,1
sub-NDARPW786GC4,,1
sub-NDARPW313LAJ,,1
sub-NDARPV145KGL,,1
sub-NDARPP622WV4,,1
sub-NDARRB359CRR,,1
sub-NDARRB338YZ0,,1
sub-NDARRA767WB7,,1
sub-NDARRA537FWW,,1
sub-NDARRY268AF2,,1
sub-NDARTW850GHU,,1
sub-NDARTU777GVV,,1
sub-NDARTT272WT5,,1
sub-NDARTT194LTU,,1
sub-NDARTW889JN9,,1
sub-NDARUE603CHQ,,1
sub-NDARUC851WHU,,1
sub-NDARUB231LHN,,1
sub-NDARUA832MYV,,1
sub-NDARTZ901LDK,,1
sub-NDARTY225EWV,,1
sub-NDARTC865YNZ,,1
sub-NDARTG396FGE,,1
sub-NDARTN487KDK,,1
sub-NDARTN173MXV,,1
sub-NDARTK933KL9,,1
sub-NDARTK834FT9,,1
sub-NDARTK691PJJ,,1
sub-NDARTH473LF8,,1
sub-NDARMY294VNE,,1
sub-NDARMY254BGN,,1
sub-NDARMV274TAY,,1
sub-NDARNE196LV0,,1
sub-NDARNK055HVH,,1
sub-NDARNE406XC3,,1
sub-NDARND697FLK,,1
sub-NDARND348HB3,,1
sub-NDARNC561KDP,,1
sub-NDARMT784NED,,1
sub-NDARMT732GKM,,1
sub-NDARMJ334ZK3,,1
sub-NDARMG196KV4,,1
sub-NDARMK416UUQ,,1
sub-NDARMF508PA2,,1
sub-NDARME736MN8,,1
sub-NDARMJ849UKD,,1
sub-NDARML024FF2,,1
sub-NDARMR039JV5,,1
sub-NDARMN376BMF,,1
sub-NDARMN302YAV,,1
sub-NDARMM951YEH,,1
sub-NDARMM326JCB,,1
sub-NDARMM137PT6,,1
sub-NDARMM005DLK,,1
sub-NDARNK322PHW,,1
sub-NDARPE056ACA,,1
sub-NDARPD029JVJ,,1
sub-NDARPA570LBF,,1
sub-NDARNZ792HBN,,1
sub-NDARPL201YL4,,1
sub-NDARPK237YHD,,1
sub-NDARPH834YB1,,1
sub-NDARNK740ZVM,,1
sub-NDARNR734JZH,,1
sub-NDARNM783ZVV,,1
sub-NDARNL134VF0,,1
sub-NDARNK768THB,,1
sub-NDARNT541VT2,,1
sub-NDARXY240WJC,,1
sub-NDARXT822TAA,,1
sub-NDARYG391PMU,,1
sub-NDARYC466ER1,,1
sub-NDARYC243UW5,,1
sub-NDARYB392JWP,,1
sub-NDARXF358XGE,,1
sub-NDARXF203DCD,,1
sub-NDARXD345GBN,,1
sub-NDARWZ024UYK,,1
sub-NDARXG571WPL,,1
sub-NDARXR637JER,,1
sub-NDARXP557DLJ,,1
sub-NDARXG646PM9,,1
sub-NDARYG665JUD,,1
sub-NDARZJ603JM0,,1
sub-NDARZG690NHH,,1
sub-NDARZK753WGR,,1
sub-NDARZE850WXD,,1
sub-NDARZE685UJ5,,1
sub-NDARZK732FZ0,,1
sub-NDARZW472CCF,,1
sub-NDARZW262ZLV,,1
sub-NDARZU822WN3,,1
sub-NDARZL855WVA,,1
sub-NDARYL758JGG,,1
sub-NDARYM334BZ5,,1
sub-NDARYL124VM6,,1
sub-NDARYY664KHF,,1
sub-NDARYZ693DE2,,1
sub-NDARYY218LU2,,1
sub-NDARYX592YYR,,1
sub-NDARVC716GEE,,1
sub-NDARVC310XV2,,1
sub-NDARVB842ZM8,,1
sub-NDARVD635FX8,,1
sub-NDARVA930UA3,,1
sub-NDARUZ206DRV,,1
sub-NDARUY730ANT,,1
sub-NDARUX886JLM,,1
sub-NDARVK720WZ0,,1
sub-NDARVN899GWP,,1
sub-NDARVG597HNL,,1
sub-NDARUX284GGB,,1
sub-NDARVP135ZGE,,1
sub-NDARUL456EER,,1
sub-NDARUK329RUU,,1
sub-NDARUJ779NM0,,1
sub-NDARUG323DM3,,1
sub-NDARUG278FNY,,1
sub-NDARUM791WPF,,1
sub-NDARUV578DU2,,1
sub-NDARUT470BM4,,1
sub-NDARUT018UYN,,1
sub-NDARUM797TFA,,1
sub-NDARUP249AMD,,1
sub-NDARVN920VHJ,,1
sub-NDARWN691CG7,,1
sub-NDARWN523GVF,,1
sub-NDARWM848AKP,,1
sub-NDARWM656UWL,,1
sub-NDARWK983JFE,,1
sub-NDARWJ498CZY,,1
sub-NDARWP595TE6,,1
sub-NDARWH725TXP,,1
sub-NDARWV568MEU,,1
sub-NDARWV449GEM,,1
sub-NDARWT449PUN,,1
sub-NDARWP634RZL,,1
sub-NDARWR678HLF,,1
sub-NDARWH779MZ2,,1
sub-NDARWA351ZE2,,1
sub-NDARVY366HWJ,,1
sub-NDARVT488RXJ,,1
sub-NDARVT454LAE,,1
sub-NDARVT072LX2,,1
sub-NDARWA433WYZ,,1
sub-NDARWG798MJG,,1
sub-NDARWD911WBU,,1
sub-NDARWD585PRZ,,1
sub-NDARAA948VFH,,1
sub-NDARDZ010EDH,,1
sub-NDARDY150ZP9,,1
sub-NDARDW416KWZ,,1
sub-NDARDU853XZ6,,1
sub-NDAREB093GH6,,1
sub-NDAREF164ZUJ,,1
sub-NDAREF848YWD,,1
sub-NDARED628HMQ,,1
sub-NDAREC648WEL,,1
sub-NDARDT528ZZJ,,1
sub-NDARDF373ZDW,,1
sub-NDARDE294HNX,,1
sub-NDARDE283PLC,,1
sub-NDARDC843HHM,,1
sub-NDARDA665DRH,,1
sub-NDARDA573XGG,,1
sub-NDARDA472JE3,,1
sub-NDARDT181RP4,,1
sub-NDARDR950CGG,,1
sub-NDARDR236FWH,,1
sub-NDARDR067YMC,,1
sub-NDARDP786HE6,,1
sub-NDARDH270YR5,,1
sub-NDARFN553LUV,,1
sub-NDARFK477WX9,,1
sub-NDARFF644ZGD,,1
sub-NDARFE526NK3,,1
sub-NDARFR108JNB,,1
sub-NDARFY009MNL,,1
sub-NDARFU444HEF,,1
sub-NDARFT881VT6,,1
sub-NDARFR820KFF,,1
sub-NDARFE299MWU,,1
sub-NDAREK575JNM,,1
sub-NDAREN667YTZ,,1
sub-NDARER970AEF,,1
sub-NDARFD552FRH,,1
sub-NDARFA402LMW,,1
sub-NDARFB908HVX,,1
sub-NDARFA815FXE,,1
sub-NDARFA737TG6,,1
sub-NDARFA165XBV,,1
sub-NDAREX065KJU,,1
sub-NDARBE123PWH,,1
sub-NDARAX272ZJL,,1
sub-NDARAW179AYF,,1
sub-NDARBF176LPM,,1
sub-NDARBJ482HJL,,1
sub-NDARBJ159HXB,,1
sub-NDARBG831VK4,,1
sub-NDARBG574KF4,,1
sub-NDARAV610EY3,,1
sub-NDARAG340ERT,,1
sub-NDARAE358VBE,,1
sub-NDARAD232HVV,,1
sub-NDARAH948UF0,,1
sub-NDARAC853DTE,,1
sub-NDARAC495TJ2,,1
sub-NDARAH503YG1,,1
sub-NDARAP785CTE,,1
sub-NDARAU708TL8,,1
sub-NDARAT581NDH,,1
sub-NDARAT358XM9,,1
sub-NDARAP964VDB,,1
sub-NDARAP782TVC,,1
sub-NDARAK738BGC,,1
sub-NDARAP522AFK,,1
sub-NDARAM675UR8,,1
sub-NDARBM433VER,,1
sub-NDARCL016NHB,,1
sub-NDARCK647MU6,,1
sub-NDARCU118LMX,,1
sub-NDARCW611MK5,,1
sub-NDARCY178KJP,,1
sub-NDARCX053GU5,,1
sub-NDARCU865PBV,,1
sub-NDARCV981XUY,,1
sub-NDARCV944JA6,,1
sub-NDARCV154DB9,,1
sub-NDARCH881EFG,,1
sub-NDARBW403EVZ,,1
sub-NDARBV059CGE,,1
sub-NDARBU928LV0,,1
sub-NDARBT607PZL,,1
sub-NDARCG438NML,,1
sub-NDARCD357CZR,,1
sub-NDARCA690EBC,,1
sub-NDARGA048BD8,,1
sub-NDARKK000PNQ,,1
sub-NDARKH837TB2,,1
sub-NDARKH171DG8,,1
sub-NDARKK392ZX2,,1
sub-NDARKP893TWU,,1
sub-NDARKP815KPZ,,1
sub-NDARKM941XLL,,1
sub-NDARKM784VA7,,1
sub-NDARKD064EVC,,1
sub-NDARJV377HG4,,1
sub-NDARJV268PNW,,1
sub-NDARJT588ZAX,,1
sub-NDARJW373UE3,,1
sub-NDARJP444DZM,,1
sub-NDARJZ089HVP,,1
sub-NDARKA085YRG,,1
sub-NDARJZ526HN3,,1
sub-NDARJZ274PRQ,,1
sub-NDARKT811ATJ,,1
sub-NDARKU616UBL,,1
sub-NDARLP246NT6,,1
sub-NDARLN070VX7,,1
sub-NDARLU111UYF,,1
sub-NDARLY687YDQ,,1
sub-NDARMA449JDZ,,1
sub-NDARLY483UNZ,,1
sub-NDARLU606ZDD,,1
sub-NDARLL790WLF,,1
sub-NDARLD016VCA,,1
sub-NDARLB547HJD,,1
sub-NDARKY667THK,,1
sub-NDARKX665ZD3,,1
sub-NDARKW738AMY,,1
sub-NDARKW521EMY,,1
sub-NDARKV965WLU,,1
sub-NDARLH979WFX,,1
sub-NDARLJ886BFK,,1
sub-NDARLJ654TZ0,,1
sub-NDARLJ334YD0,,1
sub-NDARLJ148JH2,,1
sub-NDARLE554GYT,,1
sub-NDARLG154ZA3,,1
sub-NDARLF709KNN,,1
sub-NDARLF142AF5,,1
sub-NDARJM239GN4,,1
sub-NDARGV948BFZ,,1
sub-NDARGZ038DRL,,1
sub-NDARGY622NG6,,1
sub-NDARGW404GJL,,1
sub-NDARGV781AMW,,1
sub-NDARHA387FPM,,1
sub-NDARHG152GZC,,1
sub-NDARHG065YHQ,,1
sub-NDARHF545HFW,,1
sub-NDARHF150FDY,,1
sub-NDARHC462NGR,,1
sub-NDARGT682ZWN,,1
sub-NDARGD425PTN,,1
sub-NDARGH074MU6,,1
sub-NDARGA499CKF,,1
sub-NDARGR354WBH,,1
sub-NDARGK672URV,,1
sub-NDARGN044FE4,,1
sub-NDARGK736HF4,,1
sub-NDARGK041TPB,,1
sub-NDARHG294AFG,,1
sub-NDARJG298YVA,,1
sub-NDARJE686DJL,,1
sub-NDARJB233RL7,,1
sub-NDARJB027GMR,,1
sub-NDARJA157YB3,,1
sub-NDARJH367WKY,,1
sub-NDARJG821GH3,,1
sub-NDARHM413HVA,,1
sub-NDARHN067BTE,,1
