subject,session,AcqGroup
sub-NDARTF833WXB,HBNsiteSI,1
sub-NDARRZ199KNG,HBNsiteSI,1
sub-NDARRU600XWW,HBNsiteSI,1
sub-NDARRP592GHK,HBNsiteSI,1
sub-NDARRN619WHY,HBNsiteSI,1
sub-NDARRD720XZK,HBNsiteSI,1
sub-NDARRA733VWX,HBNsiteSI,1
sub-NDARPZ621ZLE,HBNsiteSI,1
sub-NDARPW482TVE,HBNsiteSI,1
sub-NDARPV249ZRF,HBNsiteSI,1
sub-NDARTH610GMK,HBNsiteSI,1
sub-NDARTK185PBH,HBNsiteSI,1
sub-NDARTM946WJ7,HBNsiteSI,1
sub-NDARUM991EE8,HBNsiteSI,1
sub-NDARUM569EV1,HBNsiteSI,1
sub-NDARUL881JR9,HBNsiteSI,1
sub-NDARUL341DD2,HBNsiteSI,1
sub-NDARUJ646APQ,HBNsiteSI,1
sub-NDARUG507AZX,HBNsiteSI,1
sub-NDARUF935UL3,HBNsiteSI,1
sub-NDARUF069EHR,HBNsiteSI,1
sub-NDARUD764NFJ,HBNsiteSI,1
sub-NDARUA421HT8,HBNsiteSI,1
sub-NDARTY625VHZ,HBNsiteSI,1
sub-NDARTX012JHM,HBNsiteSI,1
sub-NDARTU768MY1,HBNsiteSI,1
sub-NDARTR840XP1,HBNsiteSI,1
sub-NDARTR365NCY,HBNsiteSI,1
sub-NDARPR768KT4,HBNsiteSI,1
sub-NDARPP337KUQ,HBNsiteSI,1
sub-NDARMV410ZFY,HBNsiteSI,1
sub-NDARMZ908DUR,HBNsiteSI,1
sub-NDARMY967HNA,HBNsiteSI,1
sub-NDARMY533CYM,HBNsiteSI,1
sub-NDARMV247HRA,HBNsiteSI,1
sub-NDARPL721WTD,HBNsiteSI,1
sub-NDARMR242UKQ,HBNsiteSI,1
sub-NDARMM905VYR,HBNsiteSI,1
sub-NDARMM782KJK,HBNsiteSI,1
sub-NDARNE511XHU,HBNsiteSI,1
sub-NDARNF954MK3,HBNsiteSI,1
sub-NDARNG689AAP,HBNsiteSI,1
sub-NDARPG072ZZ7,HBNsiteSI,1
sub-NDARPE596LZL,HBNsiteSI,1
sub-NDARPE404CMV,HBNsiteSI,1
sub-NDARPD977VX2,HBNsiteSI,1
sub-NDARNW218ZBU,HBNsiteSI,1
sub-NDARNV332JF2,HBNsiteSI,1
sub-NDARNT939YMG,HBNsiteSI,1
sub-NDARNT572CMD,HBNsiteSI,1
sub-NDARNT042GRA,HBNsiteSI,1
sub-NDARNM624PDC,HBNsiteSI,1
sub-NDARNL599TMZ,HBNsiteSI,1
sub-NDARNJ894VH2,HBNsiteSI,1
sub-NDARNJ715JPV,HBNsiteSI,1
sub-NDARNJ687DMC,HBNsiteSI,1
sub-NDARNH342XLK,HBNsiteSI,1
sub-NDARUT792WX7,HBNsiteSI,1
sub-NDARUY876VL1,HBNsiteSI,1
sub-NDARML148UCE,HBNsiteSI,1
sub-NDARYH996DA9,HBNsiteSI,1
sub-NDARYN484LLR,HBNsiteSI,1
sub-NDARYM257RR6,HBNsiteSI,1
sub-NDARYL272HDW,HBNsiteSI,1
sub-NDARXJ799NEB,HBNsiteSI,1
sub-NDARYH110YV9,HBNsiteSI,1
sub-NDARYB563VRT,HBNsiteSI,1
sub-NDARXY337ZH9,HBNsiteSI,1
sub-NDARXU679ZE8,HBNsiteSI,1
sub-NDARXU437UFZ,HBNsiteSI,1
sub-NDARXN425ZJB,HBNsiteSI,1
sub-NDARXN047RUT,HBNsiteSI,1
sub-NDARXK462WRZ,HBNsiteSI,1
sub-NDARYU323ZDJ,HBNsiteSI,1
sub-NDARYU620RH9,HBNsiteSI,1
sub-NDARZV766YXP,HBNsiteSI,1
sub-NDARZT772PU4,HBNsiteSI,1
sub-NDARZP564MHU,HBNsiteSI,1
sub-NDARZJ414CAA,HBNsiteSI,1
sub-NDARZH517ZVK,HBNsiteSI,1
sub-NDARZG623FYX,HBNsiteSI,1
sub-NDARZG263HRK,HBNsiteSI,1
sub-NDARZF949WTW,HBNsiteSI,1
sub-NDARZE542ZVH,HBNsiteSI,1
sub-NDARZD991YLG,HBNsiteSI,1
sub-NDARZB377WZJ,HBNsiteSI,1
sub-NDARYZ408VWW,HBNsiteSI,1
sub-NDARYY218AGA,HBNsiteSI,1
