subject,session,AcqGroup
sub-20727,2,1
sub-20731,1,1
sub-20733,1,1
sub-20737,1,1
sub-20738,1,1
sub-20741,1,1
sub-20744,1,1
sub-20745,1,1
sub-20746,1,1
sub-20754,1,1
sub-20758,1,1
sub-20760,1,1
sub-20760,2,1
sub-20725,1,1
sub-20693,1,1
sub-20675,1,1
sub-20678,1,1
sub-20678,2,1
sub-20683,1,1
sub-20688,1,1
sub-20688,2,1
sub-20689,1,1
sub-20689,2,1
sub-20698,1,1
sub-20719,1,1
sub-20698,2,1
sub-20699,1,1
sub-20699,2,1
sub-20700,1,1
sub-20706,1,1
sub-20706,2,1
sub-20714,2,1
sub-20717,1,1
sub-20765,1,1
sub-20767,1,1
sub-20769,1,1
sub-20818,2,1
sub-20826,1,1
sub-20826,2,1
sub-20833,1,1
sub-20837,1,1
sub-20839,2,1
sub-20840,1,1
sub-20841,1,1
sub-20844,1,1
sub-20844,2,1
sub-20846,1,1
sub-20848,2,1
sub-20850,1,1
sub-20852,1,1
sub-20856,2,1
sub-20816,1,1
sub-20793,1,1
sub-20771,1,1
sub-20771,2,1
sub-20772,1,1
sub-20773,1,1
sub-20773,2,1
sub-20780,1,1
sub-20783,2,1
sub-20795,1,1
sub-20815,1,1
sub-20799,1,1
sub-20800,1,1
sub-20803,1,1
sub-20806,1,1
sub-20806,2,1
sub-20811,1,1
sub-20674,2,1
sub-20672,2,1
sub-20672,1,1
sub-20556,2,1
sub-20567,1,1
sub-20568,1,1
sub-20573,1,1
sub-20577,1,1
sub-20577,2,1
sub-20579,2,1
sub-20580,2,1
sub-20583,1,1
sub-20587,2,1
sub-20588,1,1
sub-20590,1,1
sub-20550,2,1
sub-20550,1,1
sub-20548,1,1
sub-20514,2,1
sub-20525,2,1
sub-20526,1,1
sub-20528,1,1
sub-20528,2,1
sub-20529,2,1
sub-20544,2,1
sub-20530,1,1
sub-20530,2,1
sub-20532,2,1
sub-20535,1,1
sub-20539,1,1
sub-20541,1,1
sub-20544,1,1
sub-20590,2,1
sub-20597,1,1
sub-20653,1,1
sub-20640,2,1
sub-20643,1,1
sub-20643,2,1
sub-20647,1,1
sub-20647,2,1
sub-20648,2,1
sub-20652,1,1
sub-20652,2,1
sub-20654,1,1
sub-20654,2,1
sub-20655,1,1
sub-20665,1,1
sub-20665,2,1
sub-20667,1,1
sub-20640,1,1
sub-20639,1,1
sub-20602,1,1
sub-20604,1,1
sub-20605,1,1
sub-20605,2,1
sub-20611,2,1
sub-20613,1,1
sub-20614,1,1
sub-20614,2,1
sub-20615,2,1
sub-20620,2,1
sub-20621,1,1
sub-20625,1,1
sub-20626,2,1
sub-20627,1,1
sub-20857,2,1
sub-20860,2,1
sub-20512,1,1
sub-21117,1,1
sub-21078,1,1
sub-21078,2,1
sub-21082,1,1
sub-21083,1,1
sub-21083,2,1
sub-21084,1,1
sub-21085,1,1
sub-21090,1,1
sub-21090,2,1
sub-21092,1,1
sub-21101,1,1
sub-21110,1,1
sub-21075,1,1
sub-21074,2,1
sub-21074,1,1
sub-21039,2,1
sub-21041,1,1
sub-21041,2,1
sub-21042,1,1
sub-21043,1,1
sub-21044,1,1
sub-21044,2,1
sub-21052,1,1
sub-21055,1,1
sub-21070,2,1
sub-21056,2,1
sub-21059,2,1
sub-21061,2,1
sub-21062,1,1
sub-21065,1,1
sub-21069,1,1
sub-21070,1,1
sub-21115,1,1
sub-21120,1,1
sub-21125,1,1
sub-21424,2,1
sub-21434,2,1
sub-21474,2,1
sub-21510,2,1
sub-21534,2,1
sub-21583,2,1
sub-21598,2,1
sub-21674,2,1
sub-21713,2,1
sub-21714,2,1
sub-21755,2,1
sub-21773,2,1
sub-21841,2,1
sub-21858,2,1
sub-21913,2,1
sub-203432,2,1
sub-21341,2,1
sub-21319,2,1
sub-21155,2,1
sub-21133,1,1
sub-21133,2,1
sub-21138,2,1
sub-21145,2,1
sub-21153,2,1
sub-21155,1,1
sub-21164,1,1
sub-21313,2,1
sub-21165,1,1
sub-21166,1,1
sub-21166,2,1
sub-21171,1,1
sub-21178,1,1
sub-21243,2,1
sub-21272,2,1
sub-21039,1,1
sub-21033,1,1
sub-21031,1,1
sub-21024,2,1
sub-20909,1,1
sub-20909,2,1
sub-20911,1,1
sub-20915,1,1
sub-20916,1,1
sub-20916,2,1
sub-20922,1,1
sub-20922,2,1
sub-20927,1,1
sub-20930,1,1
sub-20930,2,1
sub-20934,1,1
sub-20935,2,1
sub-20936,1,1
sub-20939,1,1
sub-20939,2,1
sub-20943,1,1
sub-20905,2,1
sub-20905,1,1
sub-20901,1,1
sub-20870,1,1
sub-20875,1,1
sub-20877,1,1
sub-20877,2,1
sub-20878,1,1
sub-20878,2,1
sub-20887,2,1
sub-20891,1,1
sub-20894,1,1
sub-20948,1,1
sub-20951,1,1
sub-20992,1,1
sub-20995,1,1
sub-21004,1,1
sub-21006,1,1
sub-21007,1,1
sub-21009,1,1
sub-21011,2,1
sub-21012,1,1
sub-21018,1,1
sub-21021,1,1
sub-21021,2,1
sub-21022,1,1
sub-21022,2,1
sub-21024,1,1
sub-20989,1,1
sub-20954,1,1
sub-20962,1,1
sub-20963,1,1
sub-20963,2,1
sub-20965,1,1
sub-20965,2,1
sub-20968,1,1
sub-20974,1,1
sub-20978,1,1
sub-20985,2,1
sub-20978,2,1
sub-20980,1,1
sub-20981,2,1
sub-20982,2,1
sub-20984,1,1
sub-20985,1,1
sub-20512,2,1
sub-20505,2,1
sub-20014,2,1
sub-20016,2,1
sub-20018,2,1
sub-20032,1,1
sub-20032,2,1
sub-20035,1,1
sub-20035,2,1
sub-20040,1,1
sub-20041,2,1
sub-20043,1,1
sub-20043,2,1
sub-20047,2,1
sub-20050,1,1
sub-20013,2,1
sub-20004,1,1
sub-20006,2,1
sub-20054,1,1
sub-20062,1,1
sub-20150,1,1
sub-20095,1,1
sub-20095,2,1
sub-20096,1,1
sub-20097,2,1
sub-20099,1,1
sub-20119,1,1
sub-20130,2,1
sub-20136,1,1
sub-20139,1,1
sub-20146,1,1
sub-20094,1,1
sub-20092,2,1
sub-20091,2,1
sub-20065,2,1
sub-20071,1,1
sub-20071,2,1
sub-20072,1,1
sub-20072,2,1
sub-20076,2,1
sub-20082,2,1
sub-20089,1,1
sub-20149,2,1
sub-20150,2,1
sub-20505,1,1
sub-20372,2,1
sub-20373,1,1
sub-20377,1,1
sub-20378,1,1
sub-20378,2,1
sub-20380,1,1
sub-20382,1,1
sub-20382,2,1
sub-20388,1,1
sub-20391,1,1
sub-20396,1,1
sub-20400,1,1
sub-20372,1,1
sub-20369,1,1
sub-20366,2,1
sub-20331,2,1
sub-20332,1,1
sub-20332,2,1
sub-20336,1,1
sub-20338,2,1
sub-20343,1,1
sub-20366,1,1
sub-20355,1,1
sub-20360,1,1
sub-20361,1,1
sub-20365,1,1
sub-20365,2,1
sub-20466,1,1
sub-20467,1,1
sub-20467,2,1
sub-20469,1,1
sub-20480,1,1
sub-20482,2,1
sub-20487,1,1
sub-20489,2,1
sub-20504,1,1
sub-20461,2,1
sub-20461,1,1
