subject,session,AcqGroup
sub-1317462,PNC1,1
sub-2830121192,PNC1,1
sub-2824389829,PNC1,1
sub-2823833643,PNC1,1
sub-2819146349,PNC1,1
sub-2816126335,PNC1,1
sub-2814825506,PNC1,1
sub-2808974219,PNC1,1
sub-2804514247,PNC1,1
sub-2799972108,PNC1,1
sub-2791148092,PNC1,1
sub-2788528349,PNC1,1
sub-2785454369,PNC1,1
sub-2781760374,PNC1,1
sub-2780566236,PNC1,1
sub-2774105134,PNC1,1
sub-2828263690,PNC1,1
sub-2832458131,PNC1,1
sub-2763114922,PNC1,1
sub-2905849066,PNC1,1
sub-2901356997,PNC1,1
sub-2896375520,PNC1,1
sub-2895974122,PNC1,1
sub-2894537898,PNC1,1
sub-2893679025,PNC1,1
sub-2886590951,PNC1,1
sub-2885180167,PNC1,1
sub-2884173160,PNC1,1
sub-2880229752,PNC1,1
sub-2876352000,PNC1,1
sub-2864018454,PNC1,1
sub-2861717830,PNC1,1
sub-2860715826,PNC1,1
sub-2852081635,PNC1,1
sub-2851612661,PNC1,1
sub-2842709105,PNC1,1
sub-2766838213,PNC1,1
sub-2762662297,PNC1,1
sub-2906925573,PNC1,1
sub-2714001943,PNC1,1
sub-2711538206,PNC1,1
sub-2710418039,PNC1,1
sub-2710058273,PNC1,1
sub-2709385105,PNC1,1
sub-2706712860,PNC1,1
sub-2705533334,PNC1,1
sub-2696622128,PNC1,1
sub-2694518755,PNC1,1
sub-2691116331,PNC1,1
sub-2691009321,PNC1,1
sub-2689188662,PNC1,1
sub-2675079707,PNC1,1
sub-2671429330,PNC1,1
sub-2670840190,PNC1,1
sub-2670354621,PNC1,1
sub-2715820110,PNC1,1
sub-2718945982,PNC1,1
sub-2762202970,PNC1,1
sub-2719078954,PNC1,1
sub-2758762405,PNC1,1
sub-2758144993,PNC1,1
sub-2755175939,PNC1,1
sub-2753998487,PNC1,1
sub-2748843731,PNC1,1
sub-2748427955,PNC1,1
sub-2748158536,PNC1,1
sub-2745152671,PNC1,1
sub-2742726803,PNC1,1
sub-2741286919,PNC1,1
sub-2740569399,PNC1,1
sub-2739925272,PNC1,1
sub-2739408373,PNC1,1
sub-2734016600,PNC1,1
sub-2729807028,PNC1,1
sub-2726208310,PNC1,1
sub-2720014197,PNC1,1
sub-2906198493,PNC1,1
sub-2657764686,PNC1,1
sub-3128815857,PNC1,1
sub-3123429468,PNC1,1
sub-3117409134,PNC1,1
sub-3117043986,PNC1,1
sub-3112586807,PNC1,1
sub-3109977781,PNC1,1
sub-3104080596,PNC1,1
sub-3100094802,PNC1,1
sub-3095311898,PNC1,1
sub-3091757174,PNC1,1
sub-3090659941,PNC1,1
sub-3082686752,PNC1,1
sub-3081556774,PNC1,1
sub-3133368442,PNC1,1
sub-3138616935,PNC1,1
sub-3066751024,PNC1,1
sub-3204472167,PNC1,1
sub-3194463561,PNC1,1
sub-3194237272,PNC1,1
sub-3192540230,PNC1,1
sub-3190862186,PNC1,1
sub-3190586154,PNC1,1
sub-3185171421,PNC1,1
sub-3182049011,PNC1,1
sub-3177113419,PNC1,1
sub-3175244541,PNC1,1
sub-3172989359,PNC1,1
sub-3171575673,PNC1,1
sub-3170512105,PNC1,1
sub-3165713481,PNC1,1
sub-3148192122,PNC1,1
sub-3147576269,PNC1,1
sub-3062402909,PNC1,1
sub-2919917027,PNC1,1
sub-2979786632,PNC1,1
sub-2972126748,PNC1,1
sub-2970389523,PNC1,1
sub-2967570405,PNC1,1
sub-2967555571,PNC1,1
sub-2951167051,PNC1,1
sub-2947976933,PNC1,1
sub-2943493898,PNC1,1
sub-2939120682,PNC1,1
sub-2934644075,PNC1,1
sub-2933325835,PNC1,1
sub-2932569616,PNC1,1
sub-2929280193,PNC1,1
sub-2928085046,PNC1,1
sub-2925300630,PNC1,1
sub-2978762615,PNC1,1
sub-2981829638,PNC1,1
sub-3060404940,PNC1,1
sub-3055237322,PNC1,1
sub-3052691308,PNC1,1
sub-3039910629,PNC1,1
sub-3038035275,PNC1,1
sub-3035602262,PNC1,1
sub-3032863642,PNC1,1
sub-3030572467,PNC1,1
sub-3029167955,PNC1,1
sub-3022646611,PNC1,1
sub-3017936002,PNC1,1
sub-3016118416,PNC1,1
sub-3014879953,PNC1,1
sub-3010354631,PNC1,1
sub-3010264843,PNC1,1
sub-2996472019,PNC1,1
sub-2990984557,PNC1,1
sub-2988053796,PNC1,1
sub-2657079253,PNC1,1
sub-2074860152,PNC1,1
sub-2272230240,PNC1,1
sub-2269734277,PNC1,1
sub-2262929710,PNC1,1
sub-2259039644,PNC1,1
sub-2258551019,PNC1,1
sub-2256834144,PNC1,1
sub-2253200176,PNC1,1
sub-2248403809,PNC1,1
sub-2247752771,PNC1,1
sub-2242628840,PNC1,1
sub-2240703148,PNC1,1
sub-2239217267,PNC1,1
sub-2235019065,PNC1,1
sub-2225237681,PNC1,1
sub-2222241318,PNC1,1
sub-2280234873,PNC1,1
sub-2209414761,PNC1,1
sub-2285120424,PNC1,1
sub-2323472643,PNC1,1
sub-2322119606,PNC1,1
sub-2321665294,PNC1,1
sub-2319858717,PNC1,1
sub-2319442352,PNC1,1
sub-2318786012,PNC1,1
sub-2318003050,PNC1,1
sub-2312088658,PNC1,1
sub-2311827557,PNC1,1
sub-2311595124,PNC1,1
sub-2308648032,PNC1,1
sub-2305446143,PNC1,1
sub-2305221381,PNC1,1
sub-2299321259,PNC1,1
sub-2298674157,PNC1,1
sub-2295699564,PNC1,1
sub-2293300734,PNC1,1
sub-2289849916,PNC1,1
sub-2215153516,PNC1,1
sub-2333531511,PNC1,1
sub-2154725318,PNC1,1
sub-2151592349,PNC1,1
sub-2148378283,PNC1,1
sub-2146308400,PNC1,1
sub-2133389205,PNC1,1
sub-2131488178,PNC1,1
sub-2129564650,PNC1,1
sub-2112415953,PNC1,1
sub-2112119995,PNC1,1
sub-2110496117,PNC1,1
sub-2108937486,PNC1,1
sub-2108841974,PNC1,1
sub-2105801105,PNC1,1
sub-2103228157,PNC1,1
sub-2093758775,PNC1,1
sub-2087996196,PNC1,1
sub-2152052186,PNC1,1
sub-2202346713,PNC1,1
sub-2194652555,PNC1,1
sub-2192302358,PNC1,1
sub-2184988827,PNC1,1
sub-2182362214,PNC1,1
sub-2180976537,PNC1,1
sub-2180799847,PNC1,1
sub-2180316189,PNC1,1
sub-2175309663,PNC1,1
sub-2172281415,PNC1,1
sub-2171240541,PNC1,1
sub-2171168019,PNC1,1
sub-2170880573,PNC1,1
sub-2170759229,PNC1,1
sub-2166835733,PNC1,1
sub-2333477346,PNC1,1
sub-2654954754,PNC1,1
sub-2585124211,PNC1,1
sub-2556918590,PNC1,1
sub-2555837927,PNC1,1
sub-2551635949,PNC1,1
sub-2539774514,PNC1,1
sub-2539603725,PNC1,1
sub-2537779643,PNC1,1
sub-2533255886,PNC1,1
sub-2529143538,PNC1,1
sub-2518846638,PNC1,1
sub-2511291760,PNC1,1
sub-2508284118,PNC1,1
sub-2507776631,PNC1,1
sub-2499963942,PNC1,1
sub-2498589740,PNC1,1
sub-2470886822,PNC1,1
sub-2564511370,PNC1,1
sub-2586296094,PNC1,1
sub-2588038141,PNC1,1
sub-2650375172,PNC1,1
sub-2649991749,PNC1,1
sub-2647545200,PNC1,1
sub-2646855369,PNC1,1
sub-2645905397,PNC1,1
sub-2639722173,PNC1,1
sub-2625808132,PNC1,1
sub-2620895813,PNC1,1
sub-2614145086,PNC1,1
sub-2613113832,PNC1,1
